query_id,step,baseline,subject,object,answer,expected,verdict
q_1_0,1,oracle,E019,E000,reports_to,reports_to,correct
q_1_0,1,vector_rag,E019,E000,reports_to,reports_to,correct
q_1_0,1,vector_rag_rerank,E019,E000,reports_to,reports_to,correct
q_1_0,1,heuristic_stateful,E019,E000,reports_to,reports_to,correct
q_1_0,1,static_graph,E019,E000,,reports_to,unknown
q_1_0,1,route_fn_only,E019,E000,owns,reports_to,incorrect
q_1_0,1,graph_route_pg,E019,E000,,reports_to,unknown
q_1_0,1,full_brain,E019,E000,reports_to,reports_to,correct
q_1_1,1,oracle,E025,E050,depends_on,depends_on,correct
q_1_1,1,vector_rag,E025,E050,depends_on,depends_on,correct
q_1_1,1,vector_rag_rerank,E025,E050,depends_on,depends_on,correct
q_1_1,1,heuristic_stateful,E025,E050,depends_on,depends_on,correct
q_1_1,1,static_graph,E025,E050,,depends_on,unknown
q_1_1,1,route_fn_only,E025,E050,depends_on,depends_on,correct
q_1_1,1,graph_route_pg,E025,E050,,depends_on,unknown
q_1_1,1,full_brain,E025,E050,depends_on,depends_on,correct
q_1_2,1,oracle,E054,E020,owns,owns,correct
q_1_2,1,vector_rag,E054,E020,owns,owns,correct
q_1_2,1,vector_rag_rerank,E054,E020,owns,owns,correct
q_1_2,1,heuristic_stateful,E054,E020,reports_to,owns,stale
q_1_2,1,static_graph,E054,E020,,owns,unknown
q_1_2,1,route_fn_only,E054,E020,reports_to,owns,stale
q_1_2,1,graph_route_pg,E054,E020,,owns,unknown
q_1_2,1,full_brain,E054,E020,owns,owns,correct
q_1_3,1,oracle,E053,E047,manages,manages,correct
q_1_3,1,vector_rag,E053,E047,manages,manages,correct
q_1_3,1,vector_rag_rerank,E053,E047,manages,manages,correct
q_1_3,1,heuristic_stateful,E053,E047,manages,manages,correct
q_1_3,1,static_graph,E053,E047,,manages,unknown
q_1_3,1,route_fn_only,E053,E047,manages,manages,correct
q_1_3,1,graph_route_pg,E053,E047,,manages,unknown
q_1_3,1,full_brain,E053,E047,manages,manages,correct
q_1_4,1,oracle,E013,E026,reports_to,reports_to,correct
q_1_4,1,vector_rag,E013,E026,reports_to,reports_to,correct
q_1_4,1,vector_rag_rerank,E013,E026,reports_to,reports_to,correct
q_1_4,1,heuristic_stateful,E013,E026,reports_to,reports_to,correct
q_1_4,1,static_graph,E013,E026,,reports_to,unknown
q_1_4,1,route_fn_only,E013,E026,reports_to,reports_to,correct
q_1_4,1,graph_route_pg,E013,E026,,reports_to,unknown
q_1_4,1,full_brain,E013,E026,reports_to,reports_to,correct
q_1_5,1,oracle,E015,E043,manages,manages,correct
q_1_5,1,vector_rag,E015,E043,manages,manages,correct
q_1_5,1,vector_rag_rerank,E015,E043,manages,manages,correct
q_1_5,1,heuristic_stateful,E015,E043,manages,manages,correct
q_1_5,1,static_graph,E015,E043,,manages,unknown
q_1_5,1,route_fn_only,E015,E043,depends_on,manages,incorrect
q_1_5,1,graph_route_pg,E015,E043,,manages,unknown
